,initial size,initial fitness,final size,final fitness
0,4,-0.24397281416948924,6,-4.929158159342862
1,3,-0.29783294997304766,6,-2.8123798677317753
2,4,1.180766425490963,8,-4.144824122082647
3,4,0.6376649789621035,5,-6.699368766181793
4,3,0.6985228727037156,5,-6.900062504257137
5,4,-0.27735710333787417,4,-7.458310151076617
6,3,-0.09079634489000485,4,-6.499880421304965
7,4,-2.1364644737075165,5,-4.269269433804826
8,4,-0.2388408854182648,5,-6.706042005643919
9,4,1.0394995934942095,7,-5.648616312759774
