,initial size,initial fitness,final size,final fitness
0,3,-1.8864306203454508,6,-4.54388339587727
1,3,-0.21242225637001017,4,-2.5603105089997946
2,4,0.2322708743409302,6,-4.225089576448306
3,4,0.062395704029798625,5,-6.012474475196788
4,4,0.25837339989140995,6,-2.840389989097387
5,4,-0.9279691098420222,5,-3.6238396071793413
6,3,-0.10416032404796888,4,-9.546275833820962
7,3,-0.35307391746997785,4,-4.696442677155702
8,3,0.17737468197805434,4,-5.355316030949429
9,4,-1.081388554929203,5,-2.6659715925435297
