,initial size,initial fitness,final size,final fitness
0,3,0.12784088900948343,7,-2.1254515722445557
1,4,0.039959127332014975,5,-3.8359751562043702
2,3,0.03534820675691365,3,-4.799025562867224
3,4,-1.2694011597361519,4,-5.804281868097642
4,3,-1.9977226589443506,5,-4.110592277209988
5,3,0.4855446534227747,6,-3.720495318779313
6,3,-1.7089297962558572,4,-6.955114582688587
7,3,-1.0158519533815697,3,-7.552146759934815
8,4,-0.18266557386184865,8,-4.778403837210759
9,4,0.012503710203779259,6,-4.867397792725548
