,initial size,initial fitness,final size,final fitness
0,19,-0.6679670191288325,24,-1.0610623662434622
1,7,0.8108124299662203,10,-1.2445082603925015
2,19,0.7037653728586242,20,-1.0253814322161832
3,33,0.8379484576509393,36,-5.21685218442482
4,7,-0.8775419987690389,7,-2.6995884598456126
5,8,-0.824456898969156,10,-6.670892333348494
6,11,0.31983246528606973,14,-4.713062645614141
7,23,-0.6915073144741982,24,-3.188699106547934
8,7,-0.07643255057708635,10,-5.929809290046574
9,28,1.955510897767957,31,0.6847820400610789
