,initial size,initial fitness,final size,final fitness
0,4,0.0762663125453515,7,-3.285609935279855
1,4,-0.9646441638175635,4,-4.03583426297413
2,3,-0.04158396411652479,3,-6.272678809008669
3,3,-0.2841245927256716,5,-5.334932253439763
4,3,-1.2542713914134729,5,-10.238658983065937
5,3,-0.09752970549709498,4,-7.2117727421504485
6,4,0.3332111306358066,5,-4.798932796423739
7,3,-0.10485634558131987,3,-5.406364822582118
8,3,-0.6618507437447876,4,-7.699509362798538
9,3,0.005687983745341166,3,-4.761044782577466
