,initial size,initial fitness,final size,final fitness
0,15,1.4643611596641866,15,-2.6500609811726297
1,11,0.9724420876029205,12,-3.6823206922257516
2,13,-0.40891456663101056,15,-4.043473958662793
3,9,-0.2624169721064547,10,-5.581036559534722
4,10,0.5624783150369626,11,-1.9985399031817614
5,12,-0.02403627589234215,14,-3.464555971742733
6,11,0.754223265326031,12,-1.8266859463344383
7,12,-0.1574748984874595,14,-2.8594369172069896
8,12,-1.131355704332834,13,-4.969418551387706
9,9,-1.6412817619260667,9,-4.676339146151993
