,initial size,initial fitness,final size,final fitness
0,4,-1.2543389492598749,6,-6.608669742991259
1,4,-1.3784830555186283,4,-4.5000697011805295
2,3,2.8517639883807435,4,-8.0937211935307
3,3,-0.1244640800567594,4,-6.59624446278881
4,4,-1.7092959015952907,5,-6.97517731621912
5,3,1.3312239357801787,4,-10.568481650755961
6,3,-0.5736594825069032,5,-2.5497094090246124
7,4,-2.296074238556409,5,-5.655512600972649
8,4,0.8637728283375181,5,-4.2459156986507995
9,3,0.31509463668163096,4,-4.915891500096997
