,initial size,initial fitness,final size,final fitness
0,7,0.09738805215287376,7,-2.193176998822088
1,21,-0.20409228427166393,23,-3.5990410817703093
2,5,-2.1763775197200905,6,-7.407208370917783
3,13,-0.013859909858344547,14,-1.3135173645077496
4,5,-0.4369450839877387,5,-4.924707000897549
5,14,-1.3983322286658608,17,-4.216484898023783
6,5,-0.09780600707343756,8,-2.35475961868423
7,8,-1.4128987553895396,8,-5.710954625196294
8,23,0.7026272612076712,24,-5.009597060788479
9,19,0.23325308037972203,20,-1.8972547200253296
