,initial size,initial fitness,final size,final fitness
0,38,-0.46948470837522027,39,-4.258621029736278
1,9,-0.34353828847434553,9,-2.635547345712168
2,28,0.9128105451210823,31,-6.065135786803099
3,24,1.1438952394796547,24,-4.083819642641595
4,15,0.04311756721337366,17,-2.5633336105939017
5,14,-0.7549194493448177,17,-4.593421273734505
6,18,-0.8057410909193029,21,-2.4344335675545947
7,14,-0.737733433835445,15,-2.561142048915426
8,26,-1.4021862632902313,28,-4.810776216168027
9,14,2.109984117985977,16,-5.472401431042305
